"Response","tweets"
"positive"," southwestair thank you for the tip "
"neutral"," united hi  booked a flight yesterday and received an email w  confirmation number but today i got this error  no active flight segments "
"negative"," jetblue not an issue but i think training  amp  information would help  great ppl but service needs to switch from individual to group better"
"negative"," united delayed another hour"
"negative"," americanair ya but u weren t sitting on the plane "
"negative"," americanair ok  we will probably cancelled flight our flights then  take a refund  and get home another way  wednesday won t work for us "
"neutral"," americanair hi do you have a phone number to ring from uk regarding claim for our late flight flight departure claim amount agreed just had no"
"negative"," americanair worst experience ever   virginamerica all the way "
"negative"," usairways is holding my luggage hostage from flight 5182"
"negative"," southwestair i have asked lindsey to call me instead of dm like a schoolgirl but so far no call   getting tired of typing little notes"
"neutral"," jetblue just a thought "
"negative"," southwestair lost kay chapman designs art luggage for important show  won t help locate it  terrible customer service "
"positive"," americanair thanks  "
"negative"," united maybe find a different gate  ua1758"
"positive"," united thx for update"
"negative"," southwestair allows other passengers 2 harass u after their gate agents mistakefurious they are doing nothing about it  amp  my 6yo was scared"
"negative"," americanair  manuel c  here for you  as in  yeah  we ll tweet platitudes at you so you ll think our twitter bot cares  or    "
"positive"," virginamerica thanks  good times there and back   vodkatonics the entire flight     sfo"
"positive"," united but thanks for asking"
"negative"," jetblue nope  none to be found"
"neutral"," americanair   reference number to this request  1 3001408092"
"negative"," usairways have him call me   i cant wait to see if anything happens   your service really sucks  usairwayssucks"
"negative"," jetblue flying out of buf 2 bos  missing captain    really  delayed til 2 00    not happy   "
"neutral"," virginamerica can you find us a flt out of lax that is sooner than midnight on monday  that would be great customer service     "
"negative"," southwestair we did not get a single answer from any southwest personnel  after an hour s wait  no apologies  no explanation "
"negative"," united been on hold on the phone for well over half an hour  waiting to make a reservation change i  wanted  to make online  help "
"negative"," americanair unfriendly unhelpful agents  unannounced gate changes  delayed flight that we found out about by word of mouth"
"negative"," southwestair roger wilco "
"negative"," southwestair sitting in baltimore  finish taxi and approved to takeoff  oops  not enough fuel   fail  45minflight  been3hours"
"negative"," united thanks for nothing  next time i ll bring a whole extra suitcase for my 1 extra pound  that makes sense  right "
"negative"," united   sent dm last week  re  suit regarding your error  no response was given  please answer dm or tell me who to send suit to    "
"negative"," united delayed cmh to ord  ran to gate 1 min b4 connection  door closed no one around  ignored by 1st agent  2nd super rude   thanksunited"
"negative"," united your airline has been telling me that my luggage is one hour away from my destination for 5 days "
"negative"," southwestair had to rebook through atlanta  amp  now drive to  nashville  had to pay ridiculous price difference  bad weather good for business"
"positive"," virginamerica has getaway deals through may  from  59 one way  lots of cool cities http   t co b2xi4yg5t8  cheapflights  farecompare"
"negative"," americanair how comes no one has answered my calls or emails "
"negative"," americanair u didn t give an answer why the flight delayed so long  and how do u compensate missing my other flights lima to cuzco  "
"neutral"," southwestair yeah  7am flight tomorrow  going to add 60 90 min extra because of the roads   snow"
"neutral"," southwestair how can we get refund instead of credit for flight that you cancelled flightled  we couldn t switch to a flight tomorrow "
"negative"," jetblue i just booked a flight with you guys  i m reconsidering that decision now after reading this tweet "
"negative"," usairways first class no snack basket was catered so drinks only no preflight drink or coathanging 1st drink service 50 min after take off"
"negative"," usairways you suck in philadelphia   let us off this plane   phl"
"negative"," usairways the  worst  ever   dca  customerservice"
"neutral","really           jetblue  our fleet s on fleek  http   t co v5qwkyxsw6   "
"neutral"," americanair i know  just a little cold weather humor    "
"negative"," usairways on plane from bos to clt for 60 mins  still at gate  crew says system wide computers preventing paperwork  any info you can give "
"negative"," americanair i m flying into dca my bag is at iad   i am already late flight for my meetings at work   i will call the number when i land     "
"neutral","omgee     jetblue  onfleek why  jetblue why                     how many people even know what that means  lol "
"positive"," usairways captain on flight 1712 from phx phl at 3 55 tonight was hilarious   greetings from the pointy end of the airplane  haha thanks "
"neutral"," southwestair just sent dm with confirmation number and passenger name on swa 3104 mco  gt cmh"
"negative"," usairways so i ask for ice and the attendant snaps  i dont have ice on this cart  not 5 min late flightr 2 cups of ice to the people 2 rows ahead "
"positive"," americanair great  thanks  followed "
"negative"," united your gate attendant had some snobby remarks  your customer service is like playing poker with my sisters kids "
"negative"," united been on the phone for over an hour with customer service and they can t figure it out  awesome service    not "
"positive"," americanair ok  thanks you  have a great night aa team "
"positive"," united  today the staff   msp took customer service to a new level  my father passed away last night  amp  you helped me get home today  thanks"
"neutral"," southwestair we re flying out tomorrow  please dont cancelled flight   lol           "
"positive"," jetblue thanks for getting me to orlando early  happiness"
"negative"," united no  u guys suck  i ll never fly with u again  and ur supervisors suck too "
"negative"," united worst agents in us at ft  lauderdale airport  passengers stand in line  getting status alerts  amp  still didn t make an announcement"
"neutral"," united aisle please"
"negative"," jetblue  goodwill  now at  125 00    27 000 x     fine   still want your new ceo to make a public apology to all passengers of flight 136"
"positive"," americanair lovely flight back from mia to lhr   great crew   thanks     "
"negative"," united i did  it took about an hour and a half though"
"negative"," united disappointed to learn you are now charging  200 to use 20k miles for upgrades on ps jfk flights  will be looking at alternatives "
"negative"," americanair trying to change flight via dfw tomorrow  can t get thru on phone  long wait then cut off x2  can you help please "
"negative"," southwestair crazy hold times today  over an hour now  help "
"neutral"," southwestair thanks  will do"
"negative"," united recent services have been very bad  my nc trip was aweful  very disappointed and never again "
"negative"," united please help trace my luggage which was put through without a name tag on 11 february 2014 at albuquerque airport"
"negative"," usairways decided to be a good sport and give you guys another shot  flight delayed  again "
"positive"," southwestair you guys rock  so easy  quick  and affordable to change my flight   bestairlineever  neverchange"
"negative"," americanair i tried already and i am on the waiting list for a call back  2hourwaitsucks"
"neutral","  united i took a screenshot and emailed it to myself  let s dm and figure this out "
"negative"," usairways over an hour now and still no one at the yuma counter"
"neutral"," southwestair any idea on flights to nashville tomorrow being clear or cancelled flightled"
"negative"," united now you ve lost my bags too   at least nobody has done anything to help out   this is absurd "
"positive"," southwestair thanks for helping my mom after  allegiantair wouldn t let her get on her plane in orlando  you re the best   customerservice"
"positive"," united thanks  just got on a couple of minutes ago  great service on flight 479 btw  please pass it to the team on that flight "
"negative"," americanair no  you should do something about everything happened yesterday   "
"positive"," usairways is alright with me  please give scott f at bdl a bonus for excellent customer service"
"positive"," virginamerica thanks for gate checking my baggage on your full flight dfw lax 883 and giving me early boarding too  sweet"
"negative"," united why couldn t you have changed the tire of my delayed ua1127 flight when it arrived instead of waiting until boarding "
"positive"," united they held the plane  made it  "
"negative"," americanair trying desperately to get my boyfriend booked on the same us airways flight as myself for the same price  can you help "
"negative"," united did our bags leave washington yet  that would be convenient seeing as we left there a day ago   unitedairlines  lostluggage"
"negative"," southwestair thank you  i was given this same reply 2 years ago  can you direct me to an area i can learn more about the improvements "
"negative"," americanair nice aa employee making skillful excuses about late flightness due to catering snafu    http   t co ypvpvdltys"
"positive"," united good fly    united  businessfirst"
"negative"," usairways 40 minutes to put my tsa number in    40 mins    and stop holding people hostage with requiring a dividends miles acct   tsa"
"negative"," southwestair kudos to bag handler at dtw gate 21 at 7 10 pm  ran to keep bags from hitting ground in 9 degree temp  http   t co 5txu5tsfkj"
"negative"," southwestair no need  i know the status  you cancelled flightled instead of delaying the flight "
"negative"," usairways i really appreciate there not being an easy way to get another flight when mine has been delayed over 2hrs for mechanical reasons"
"negative"," americanair  last  flight  ever on  aa  you botched this weather delay to the point of absurdity  i d pay more to fly  delta"
"neutral"," usairways landed at phoenix  but we had to board a flight quickly to vegas so no time at the airport  what now "
"positive"," usairways  americanair  svllindia provides you the best logistics experience for people all over india   mumbai  surat  navimumbai"
"negative"," united sure    you ve been saying that for as long as i ve been tweeting about your obsolete fleet   promises are free "
"neutral"," jetblue formally requests  lbairport and  longbeachcity to establish customs facilities for international flights http   t co jbyvmsod29"
"neutral"," usairways i sent email to customer relations aa com  will this work "
"positive"," jetblue hotspot free wifi makes me happy   jfk  itsthelittlethings"
"negative"," united    and when that doesn t work   "
"negative"," americanair i still am not on a flight  ive been here allll day and now we re not boarding because we re waiting for catering "
"neutral"," southwestair  tifffyhuang i met my twitter friend waiting outside the troubadour  destinationdragons http   t co lf69waf5ad"
"negative"," americanair how about some rampers at gate b40 dfw    waiting to be marshaled in"
"negative"," americanair i waited on hold for two hours  only to have my call  really unreliable "
"negative"," americanair missing a full days of work thanks guys"
"neutral"," jetblue indeed  it was not      "
"positive"," southwestair just sent another 4 drink coupons    i think i have over 30 coupons now  free drinks anyone "
"negative"," jetblue that s what they told me half an hour ago"
"positive"," virginamerica wifi and better seating "
"negative"," united yes and that is appreciated but misinformation damages credibility   you may want to have someone observe in newark  fwiw"
"negative"," united thanks for letting me sleep at dia to ensure you ruin as much of my vacation as possible  wait  no  fuck you   unitedairlinessucks"
"negative"," jetblue rather than trying to resolve customer issues  only options offered were paying cash   airport or write letter   justifythissupport"
"neutral"," jetblue celebrates 15 year anniversary with new livery    cnnmoney http   t co p7skxzve1a"
"negative"," jetblue pr friendly tweets don t help drive accountability  hope mr  hayes takes note "
"negative"," usairways is there a way to have someone contact me when you have an agent available  need help flight booking problems an award flight "
"negative"," virginamerica your website is down and i m trying to check in "
"negative"," southwestair flight yesterday cancelled flighted  got to airport 4am today for an on time flight w was delayed cancelled flighted than reinstated which caused"
"neutral"," usairways please hold us1765 for me  need to get home tonight before weather  almost there "
"neutral"," southwestair is now recruiting for fall 15  spring 16 internships   2 23 15  5  6pm  jindalcmc davidson auditorium 1 118   jsom  utdallas"
"negative"," united and btw  the  virgin and  jetblue managed on time departures same time same destination   amp  wouldn t take away a 9year old kids bag "
"neutral"," united can someone at the airport in portland  or buy a ticket to be picked up and used 2days late flightr by other from perth  australia  thanks"
"neutral"," united  understandable  i did try flight booking problems several times for 2 passengers  amp  got the messages i mentioned before  as for the agents price   "
"neutral"," americanair i need to be back in cleveland as early as possible tomorrow"
"neutral"," southwestair i will tell marry a lamp if you give me tickets to the vegas show please i am desperate"
"negative"," southwestair disappointed with customer service right now  my flight was only one cancelled flightled at my airport  amp  now i m losing 2 days from trip"
"neutral"," americanair dm sent"
"neutral"," southwestair my dm won t go through but it is 261633561838  please let me know if you need anything else "
"negative","stop  using this word  if  you re  a  company  rt  jetblue  our fleet s on fleek  http   t co fd2tnyctrb"
"negative"," americanair but when becomes about get money from the passengers are very strict but don t have any feedback as a reward"
"positive","    americanair   nlrphoto those are very beautiful photos     thx  would marketing dept be interested in buying "
"positive"," united new apple cr  pe  amazing  live from ua1207  really nice crew too    americanair has biscuits  ua needs them 2 http   t co gz9gqdt7jj"
"negative"," americanair we re still here guys   you are the worst"
"negative"," usairways i ve been on hold since 11 30pm  need to reschedule my cancelled flightled flight for a morning departure tomorrow   please help      "
"neutral"," united where is my flight voucher "
"negative"," americanair why are there only 2 agents at domestic check in at mia   wtf  huge lines and many people with cancelled flightled flights "
"negative"," jetblue trying to charge us  550 dollars cash for tickets we paid for months in advance  isthisreal  nevertoldus  jetblue  neveragain"
"positive"," jetblue great flight http   t co e0r0nto4tr"
"negative"," americanair she told us we had to drive back to drop it off so they could attempt to fix it  really  don t have time to do that   terrible"
"negative"," usairways how aggravating  zone 5 boarded  overhead empty but forcing bag check  better not loose bag again  flt1727 http   t co w3xs6tvpzg"
"neutral"," usairways  if i rebook on another airline after my flight was cancelled flightled  do you reimburse  i need to get home today  not tuesday "
"negative"," united you had us reboard without the captain   so now we ll be sitting in here for another 20  min  http   t co eerekdf9fq"
"negative"," united my last call your customer service agent called me back    as he was stuck on hold to air canada   just hope he s booked me a flight"
"negative"," united just because you are a monopoly in  flysfo doesn t mean you treat your frequent fliers like crap "
"negative","    americanair   andrew wasila we re sorry you were uncomfortable  andrew  what can we do for you     sma"
"positive"," jetblue crisis averted  flight  69 from bos to fll is boarding  let s hope the new pilots aren t clarence oveur and roger murdock     "
"negative"," americanair i m here standing at baggage claim waiting for bags for over an hour at dfw  the gate is 100 feet from here   nothappy"
"negative"," usairways has the worst customer service line   i ve called them 8 times today and not once was i able to talk to a real human being "
"neutral"," americanair please email me at temorris2010 hotmail com  willing to discuss my experience  amp  give another try would like to speak directly"
"neutral"," united i have a voucher that expires next week  can i get an extension on it before it expires "
"neutral"," united surprised to go from 1k last year to nothing this year  what happened to the  soft landing  policy of no more than 1 level "
"neutral"," jetblue  i see my flight from boston to pitts is ok from this afternoon  did you have any delays for the morning flight "
"positive"," usairways i totally understand the weather  just frustrated  thanks "
"negative"," americanair there was no one from  aa at the  woase2015 event  helsinkiairport lots of info available of  winterops"
"negative"," usairways everyone is sorry   don t have what i need for meeting tomorrow   140 charac  isn t nearly enough to highlight your shortcomings"
"positive"," united i should be fine  they automatically changed my connecting flight for me so i wouldn t miss it  a  work "
"negative"," united its funny how none of ur tweets back are helpful what i want is to read  ya we ll change that so our customers get better service "
"positive"," americanair thanks for the champagne  aa153 ord nrt to celebrate my  tokyomarathon2015 finish  http   t co ij4xl01tkx"
"negative"," southwestair totally sucks that my flights were weathered out of existence  but stacy in tucson helped with an overnight in vegas "
"neutral"," usairways announced that people going to fl via charlotte would have to go to a different plane  amp  gate  but it was a  direct flight   logic"
"negative"," americanair how do i place it on hold and complete payment  i don t see any way to do that from my reservations page "
"positive"," southwestair is having a sale  i m delighted "
"positive"," usairways thanks "
"neutral"," united ua6357 needs de icing  stat  we ve waited our turn   "
"negative"," usairways no thank you   americanair was responsive  amp  i found alternate travel home "
"negative"," usairways not cancelled flightling  837 because you don t want to put us in a hotel for night is our guess"
"neutral"," virginamerica they told to check with the airline regulation first so that is why i contacted you "
"negative"," usairways had to cancelled flight 4 of my flights because my versace biceps wouldn t stow completely under the seat in front of me "
"negative"," united how come you are the only airline  of 90  flights last year that makes me check my carry on  not even gate check   baggage claim   "
"negative"," united screwed over my professor  maybe we should tell everyone about  skiplagged    aviation  airport  airline  innovation  startups  tech"
"negative"," virginamerica you stink  flight cancelled flighted from psp to jfk and no notification or ability to rebook  disappointed    expected better"
"negative"," jetblue no  we are at a hotel   also  jetblue lost my daughters luggage   how do you lose luggage if the plane never actually left   "
"negative"," americanair it s been almost 3 days and it s still frozen  thanks doll         "
"negative"," united it s the fact that an international should not be with out her bag and no sense of what s going on other than  maintenance  "
"positive"," jetblue i do  the best airline wifi ever  thank you "
"positive"," southwestair katie  gate c47  denver international  fantastic customer service helping me and 2 new flyers  thx for amazing staff "
"negative"," virginamerica boo for a not refunding a seat upgrade fee i did not want to buy in the first place "
"negative"," americanair good care of their customers if anything happen to then take you  delta  for getting me back to nyc    screw you  americanair"
"positive"," jetblue   loving capt joe on our flight from bos to sfo  633  this should be fun "
"negative"," usairways any tips on getting a hotel that your airline won t get for any of us even though we were told that we d make our flight "
"neutral"," united will definitely do so  sending a dm now "
"positive"," jetblue thank you "
"negative","keep waiting  time does not cost anything for  jetblue hundreds people how payed thousand dollars with no feedback http   t co ji2pg4gom9"
"negative"," united i can t even fit my name on the first two lines  yes    please do pass on feedback  this is a big downgrade from previous years "
"negative"," united   there must be 100 people waiting in line for customer service at den to deal with flight cancelled flightations "
"positive"," virginamerica has getaway deals through may  from  59 one way  lots of cool cities http   t co tzzjhuibch  cheapflights  farecompare"
"neutral"," united i did not   that s why i am very concerned "
"negative"," united 100  i will put together a very serious email  with all the issues that arose on our vacation due to your staff i will post it here"
"negative"," southwestair repeating this is policy is basically repeating  fuck you  to your customers  i ll be shopping for a new airline asap"
"negative"," southwestair every flight flown by me personally about two round trips per month  is full  still hard to believe  fly 8 hours thru atl no"
"negative"," united  bobwesson fair enough united  everybody is doing the best they can  although that  slight delay  is turning into a cancelled flightlation "
"negative"," usairways well that is not going to help  i vebeen on hold over 3 hrs  amp  my client wants his ff nbr in the record he s elite waa"
"negative"," usairways can you please post wait time have been on hold for two hours"
"negative"," united why i won t check my carry on  watched a handler throw this bag    miss the conveyer belt    sat there 10 min http   t co lyoocx5msh"
"positive"," usairways many thanks for your reply  http   t co 6cgfv02gzb"
"negative"," southwestair doesn t want to deal with me  but the world might want to know how they are treating their customers  http   t co skkewqhssg"
"negative"," united no claim number  haven t been back to iad baggage since  is there a phone i can call to speak to someone "
"negative"," americanair pretty lame response to a two paged single spaced letter http   t co acebo6elpa"
"negative"," americanair the flight i m trying to change is in 4 hours and i ve been trying to reach an agent for 72 now  this is unbelievable "
"negative"," united ua1534 has now had 11 different departure times  wtf  make up your mind "
"negative"," southwestair  got  duped  w  a connection on 1st flight  sneaky   now u won t give me a seat on an earlier flight w  availability  shameful"
"negative"," united unfortunately  they didn t  i asked the staff if they could help  they said we should ask ppl in our row to switch  but no one would"
"negative"," americanair is the company from hell with no consideration for customers that give it hundreds of millions of dollars per year  smh"
"negative"," usairways why is it impossible to change   buy preferred seats via your app "
"neutral","aww  is it   jetblue i guess now i need to book a flight to somewhere warm asap  any suggestions "
"neutral"," jetblue  brazil to volunteer teaching english  amp  spanish to poor children so they have a skills to improve their chances of a better life "
"neutral"," southwestair is the 1 750 bonus at 1800flowers still on or did it expire 2 14 15 "
"neutral"," usairways really   "
"positive"," jetblue great flight  great view      http   t co yxn00pnoav"
"positive"," jetblue s ceo battles to appease passengers and wall street   http   t co uy28d1uegx http   t co vjfv7ksgcq"
"positive"," jetblue my family and i are excited to see you too        "
"negative"," americanair i am honestly in shock how this process and service compares to my other airline experiences  not really sure what to say   "
"positive"," southwestair great example of customer service this morning at msy headed to atl  alison and bobbi were fantastic  gate b8  thank you "
"neutral"," jetblue by any chance do u offer fresh guacamole on your flights"
"negative"," united is late flight again   everyone braved the weather and 40 passengers are waiting for a flight crew   really "
"neutral"," southwestair please help me get tickets to the  imaginedragons club show in atlanta    destinationdragons"
"negative"," americanair what sense is it to charge for a bag service when the service isn t great  losing luggage and now missing items this is bs"
"negative"," united you re trying to solve problem of your own making  charging for checked luggage forces checking at gate  brilliant "
"positive"," united thank you  any help is appreciated "
"negative"," united new 737 plane  wifi  not working  entertainment  non existent  new seats  seriously uncomfortable  really   unitedfail ua1550"
"negative"," united says  usairways  is the final carrier   us air doesnt have it  i want my bag    not a claim not an im  sorry  i want my clothes  "
"negative"," americanair it shouldn t happen but did and has put us and our gear in jeopardy  what steps do you take to protect customers if their items"
"negative"," usairways power trip  i felt completely threatened and unsafe and i am so angry  derrick bussey   dca  would like to reiterate that i was"
"negative"," southwestair pwm direct to orlando on saturdays  why is this only happening in march  i thought it was going to be a permanent thing    "
"neutral"," united what time should i arrive at the airport for my 6 15 am domestic flight out of san diego "
"neutral"," americanair thanks so much "
"negative"," southwestair the in browser hover over is intrusive and annoying  and the fact that the wifi only works on one device is sort of sad "
"negative"," united what is this subtlety gate changes  are you kidding with me "
"neutral"," jetblue  please start flying to guyana soon"
"negative"," americanair your definition and mine of 10 min is vastly different  i understand the need to get off the plane for maint  but be honest "
"neutral"," virginamerica do you provide complimentary upgrades to first class  if there are available seats "
"negative"," usairways found great prices thru us air for honeymoon  website wont work and been on hold for more than a hour now after being told 10 min"
"positive"," americanair i wish i could remember all of their names "
"negative"," united how on earth could you close the united club in atlanta  what a major  fail at an airport of this size"
"negative"," americanair weather is unavoidable  understaffing is controllable"
"negative"," jetblue all good  i just have 2 remind myself that if this was 1914 i might be on a horse  amp  buggy  so what s a little delay right "
"neutral"," americanair if i ve booked an aa award on usair metal  and space opens up on aa metal  can i change to the aa flight without fees "
"negative"," united ua1673 still waiting  supposed to depart 9 08"
"negative"," united thanks for that advice  so helpful  can t believe you guys actually charge people to  fly  united"
"negative"," united at what pt do u just cancelled flight   finally got stndby 4 1pm flight  what a day    missedwork  clientnothappy http   t co suprlfoi8t"
"negative"," united  7 for wifi just so i can tell my family i m gonna be late flight cause i had to sit in a grounded plane for the past two hours   "
"negative"," southwestair like kelsey said  really bad spot for locals  do you know how long it takes to find parking then walking over to the bellagio "
"negative"," southwestair first there were cockroaches crawling on the counter at the gate and visible mouse traps under the seats at the gate"
"positive"," united man i can t wait to book my ticket now  thanks jp you re a life sabe"
"negative"," americanair flight was 2488 out of ewr stop at dallas then to la  i need to be in la tonight "
"neutral"," virginamerica any updates on flight 413 from jfk  gt  lax"
"positive"," united message sent  thank you "
"positive"," jetblue thanks for the info    figured that was the case  hopefully my new hashtag will change that     abcletjetbluestreamfeed"
"neutral"," usairways what s going on with passengers diverted to clt on fll to phl flight that left at 830 tonight "
"negative"," americanair while i m aggravated   shouldn t baggage fees disappear now that gas prices have dropped "
"negative"," americanair what i am put off by is the fact that no gate supervisor has tried to come by and communicate with us "
"negative"," united why did you load us in this flying sardine can if you knew the pilots were 2 hours late flight    incompetent beyond belief"
"negative"," southwestair they put me on the next flight available   tomorrow morning    any idea if bna will be open in the morning for my flight "
"negative"," united direct messaged you  didn t hear anything back"
"negative"," usairways any word on flight 1748 getting out of dfw in the near future  stuck on plane at gate for over an hour"
"negative"," usairways i ve been standing on a very crowded bus for the past 30 mins for dca pit  help   americanair http   t co jaskyplwt5"
"neutral"," americanair i will and i will share with many  many others   filmcrew  media  wsj  nytimes  latimes  chicagotribune"
"negative"," usairways  preciate it but cant get off plane to speak w agent   wont come on plane 5015 knoxville    "
"positive"," southwestair thank you for your help adam and to the awesome gate agents at b12 in las for getting us home "
"negative"," usairways i appreciate the hard work  still  i gave up after  gt hour   dsearls"
"negative"," americanair we will not be flying with you or us air again  the changes and cancelled flightations leading up to today s big finale is unacceptable "
"negative"," united why don t you de ice while the plane sits there with no one in it for 2 hours    or we could just delay   "
"neutral","can you please help to save my daughters life  jetblue for details go here  help lindsey"
"neutral"," united any plans of restating nonstop service between iad and south florida   we miss our flights to fll "
"negative"," united and here i thought american was bad  horrible service  over 2 30 min late flight  no excuse "
"negative"," usairways i did  they told me it was a 40 min wait  amp  they d call back  it s already been 45 min  horrible"
"neutral"," americanair my flight got cancelled flightled from grk to dfw  then to lex for tomorrow and i need it rebooked "
"negative"," jetblue ive tried on my phone and laptop   "
"negative"," usairways  1st a reaccommodation  now a delayed flight for this one    amp  the gate agent still hasn t mumbled a word  folks getting anxious "
"negative"," americanair got off the phone w  rep now flight has disappeared  locator irrlcd she said i was rescheduled  help please "
"negative"," usairways i ask for reimbursement maybe miles added to my account for my inconvenience and for the money that i had to spend"
"negative"," americanair i dmed you my aa  amp  phone  s  amp  you can t have someone call me  what was the point of your response  you didn t resolve anything "
"negative"," americanair you are jumping the gun and cancelled flighting flights that could ve made it before the snow  now  more cancelled flightlations  it s ridiculous "
"negative"," united flighted delayed for hours  10pm arrival to vegas is now 4am  did you seriously lose my luggage   "
"neutral"," southwestair i have a 5 30 flight out of birmingham tomorrow night  can i reschedule it for an earlier flight because of the expected snow "
"negative"," usairways just contaced eyewitness news about the ripoff the cancelled flighted now they want me to pay"
"negative"," united cdg las 42 hours  and my luggage is in sfo  i ve been wearing the same clothes for 42 hours  thank you   flythefriendlyskies"
"neutral","x  x rt  jetblue  our fleet s on fleek  http   t co xxppzo88j1"
"negative"," usairways my daughter is stranded in charlotte because us airways cancelled flightled her flight tonight   completely dissatisfied with  usairways"
"negative"," southwestair poor performance all around  paid for express checkin weeks ago and can t even leverage it  bullshit"
"negative"," united  gj i do believe that this is hands down the worst service i ve ever experienced  makes  comcast look amazing   unitedairlines"
"negative"," usairways gold desk quoting me  900 to rebook due to weather  can buy first seat on same flight for  440  why  on hold for 45  mins now"
"positive"," virginamerica hahaha      virginamerica you guys are amazing  i love you guys       "
"negative"," jetblue should ve been on one of your flights instead     southwestair has now lost our bags to add insult to injury"
"positive"," southwestair got it squared away  thank you  i had a man on the inside help me out "
"neutral"," united   pls hold ua2066 for 9 cnx pax frm ua6194   all runners   a 5 min hold will save 2 fam frm miscnx   pls  twitter is watching "
"neutral"," southwestair are there any current promotions codes for nashville denver  thank you "
"positive"," jetblue  professorpaul15 always happy to help "
"negative"," united u guys did it again changed ages and double booked seats so i had to i ve even though i have platinum and the other person none"
"neutral"," usairways how s us 1797 looking today "
"negative"," usairways little help to us  my husband has been on hold for an hour for something that take 5 minutes to complete "
"negative"," united troubling news  time to raise the bar on legroom  http   t co nmbhngnmki"
"neutral"," united dm sent"
"negative"," united each flight is worse than last  flight attendants don t even know whether the plane is equipped with power outlets at the seats "
"neutral"," americanair already did  reply was  sorry  we believe this to be fair   as a journalist writing an article on my trip i will include this"
"negative"," americanair i like the call back system  but thought you d like to know it s not working well  i received three calls but there s no audio "
"negative"," southwestair service rep didn t say i was dumb just had the tone of voice like i should have known about it "
"negative"," united stuck in iad going on 6 hours waiting for a ferry flight from nashville that u can t tell when it will arrive    ridiculous  "
"negative"," americanair why does your rtw planner  spec  circle pacific  not let me even plan the demo routes from your website "
"positive"," united amazing hospitality and helpfulness from anthony lastella  great staff                    def flying  united again "
"negative"," usairways wont waive fees for flight cancelled flightlation due to  neptune to use credit   200 fee  couldnt reach destination  bostonbbb  notmyfault"
"negative"," americanair we knew it was not going to leave but we had 6 hours waiting    that was the hurry  "
"neutral"," americanair flight 35  i m on my way "
"negative"," virginamerica hi  i m so excited about your  99 lga  gt dal deal  but i ve been trying 2 book since last week  amp  the page never loads  thx "
"neutral"," jetblue 2 55 tomorrow from ric to bos  looking good or am i better rescheduling "
"negative"," americanair  edplotts don t bother trying to get anywhere with their customer service team either as take 2  months and counting to reply"
"neutral"," usairways 1826 trying to make a connection to punta cana leave phl at 9 50"
"positive"," jetblue longing to look into the blue eyes   firstlove"
"negative"," americanair i need to go to yyz tmr morning 8am  i switched to united already  but my bag is still off in aa la la land "
"negative"," southwestair belt issues  been a rough day for them  worst part is traveling with 9 month old and having to wait outside in 85 degree"
"negative"," usairways do you operate any flights without maintenance issues  flights in out of dca cancelled flighted  this is getting old  update fleet pls "
"negative"," jetblue your app needs updating  says my flight is on time when we are well past boarding time with 2hr delay http   t co btvpxtzju0"
"negative"," usairways hey  i booked a flight  isabelle gramp  boston to lax   and it said that it charged my credit card but the transaction didn t go"
"negative"," jetblue there were seats but after waiting on hold for 20 minutes they were gone now she has to stay another night in charleston very pricy"
"negative"," usairways  has me on my toes whether i m going to make my flight back to boston tonight"
"negative"," americanair my flight out of tyr tomorrow was cancelled flighted due to weather  how long until a rebook "
"negative"," usairways the least you could do is make up for what you have caused  you are ruining people s memories  you should be ashamed "
"negative"," jetblue if my flight was delayed can i show up at the airport with the appropriate amount of time for the delay or do i have to go on time "
"negative"," americanair i need help   i m trying to cancelled flight a flight before it takes off but i can t get a hold of anyone because all lines are busy "
"negative"," usairways still effin waiting    not weather delays  not engine trouble  but lack of crew   are you shitting me "
"positive"," united thanks   it s very helpful to understand that the reduced price seats that are sold at check in have priority over the certificates "
"negative"," southwestair no human contact for 2 mths from  americanair cust relations or refund dept  if ever a problem do u have humans i can talk to "
"negative"," usairways i need to speak with a live person  i ve had it with the recordings  i was told on sat that we d have our luggage by yest "
"negative"," usairways customer service is dead  last wk  flts delayed cancelled flighted  bags lost 4 days  last nt  flt delayed cancelled flighted   no meal voucher "
"neutral"," southwestair i have been in contact and know there are changes but it s a destination you should really evaluate  thanks"
"negative"," united i did they did not   i did submit a complaint on line and never heard back from that   i don t have that id  you should find it"
"negative"," southwestair 2 hours on hold trying to reschedule cancelled flightled flight  hold music stopped  but no one s answering  how can i reach a rep "
"negative"," jetblue luggage fees  won t b flying jb again  at least  aa gives platinum pass 2 bags  tired of overchging bg herded like cattle2slaughter"
"neutral"," jetblue s ceo  pilots among ardent fans  wall street   poughkeepsie journal http   t co frhuxib8ii"
"negative"," americanair i have never on all my trips on any airline ever nat l or int l ever experienced anything like this "
"positive"," united thank you "
"positive"," jetblue i have a little more time then that  lol  well actually a lot more  36 days more  but i m just excited  "
"positive"," americanair i was happy to purchase the upgrade  if only it was avail on my next flight "
"neutral"," usairways message me if you want to issue a refund so someone else can use my seats tomorrow am  flightcancelled flighted  custservicehasnonumber"
"positive"," americanair me too  despite the chaos  i m still grateful for a flight home       "
"negative"," united funny  both my flights yesterday were delayed because of mechanical issues  rotten luck to get 2 planes in a row with  issues    "
"neutral"," americanair do you have hand sanitizer in the bathrooms on your flights "
